station_name,station_latitude,station_longitude
Sapientia,46.523561,24.598867
Dedeman,46.526921,24.599290
Regele Ferdinand,46.534244,24.591403
Piaţa Diamant 1,46.536718,24.591338
Piaţa Diamant 2,46.537301,24.590317
Înfrăţirii,46.538479,24.584252
Fortuna,46.535622,24.582955
Spitalul Județean,46.559208,24.581652
Ştrandul 1 Mai,46.558301,24.564256
Corina 1,46.533223,24.588362
Corina 2,46.532570,24.589800
Pandurilor,46.534203,24.582400
Mari Cristi,46.533238,24.578535
MBO,46.533419,24.572503
Panduru,46.533642,24.570796
